 Airlines, Business Model, Region, Financial, Traffic Growth, Yields, Macro Indicators, Competition, Ishka Credit Score, Ishka Credit Score Outlook or Proxy Score, Overall credit quality
 airBaltic (On Watch),Hybrid Airline,Europe,,,,,,CCC+,CCC+,Critical
Aegean Airlines,Full-Service Carrier,Europe,,,,,,BBB-,BBB-,Stable
Aeroflot Group (Coverage Withdrawn),Multi-Brand Airline Group,Europe,On Watch,On Watch,,,,B,CCC,Critical
Aerolineas Argentinas,Full-Service Carrier,South America,Improving Trend,,NA,Improving Trend,,,,
Afrijet,Full-Service Carrier,Africa,NA,,NA,On Watch,,,,
Air Arabia,Low-Cost Carrier,Middle East,,,,,,BBB+,BBB,Stable
Air Astana,Full-Service Carrier,Europe,,,,,Downward Pressure,BB-,BB-,Adequate but some concerns
Air Austral,Full-Service Carrier,Europe,NA,,NA,,,,,
Air Canada,Full-Service Carrier,North America,,Watch:Developing,,,,BB,BB,Adequate but some concerns
Air China,Full-Service Carrier,Asia Pacific,,,,,,B    ,B,Weak
Air Europa (On Watch),Full-Service Carrier,Europe,Estimate - Improving Trend,,Market-based,,,CCC,CCC,Critical
Air France HOP! (refer to Air France-KLM),Regional Airline,Europe,NA,,NA,,,,,
Air France-KLM,Multi-Brand Airline Group,Europe,,,,(On Watch),,BB-  ,BB,Adequate but some concerns
Air India,Multi-Brand Airline Group,Asia Pacific,,,NA,Watch: Developing,,B+,,
Air Macau,Full-Service Carrier,Asia Pacific,NA,,NA,,,,,
Air Mauritius (On Watch),Full-Service Carrier,Africa,NA,,NA,,,,,
Air New Zealand,Full-Service Carrier,Asia Pacific,,,,,,BBB- ,BBB-,Stable
Air Niugini,Full-Service Carrier,Asia Pacific,NA,,NA,Recovery Trend,,,,
Air Nostrum,Regional Airline,Europe,Estimate ,,,,"Estimate, Downward Pressure",,,
Air Premia (On Watch),Hybrid Airline,Asia Pacific,NA,,NA,,,,,
Air Senegal (On Watch),Full-Service Carrier,Africa,NA,,NA,,,,,
Air Serbia,Full-Service Carrier,Europe,NA,,NA,On Watch,,,,
Air Transat/Transat (On Watch),Tour Operator,North America,,Watch:Developing,,,,CCC,CCC,Critical
AirAsia X,Low-Cost Carrier,Asia Pacific,Recovery Underway,,,,,CCC,CCC,Critical
AirAsia X (Legacy),Low-Cost Carrier,Asia Pacific,On Watch,,,,,,,
Airlink (South Africa),Regional Airline,Africa,NA,,NA,,,,,
AJet,,Europe,NA,,NA,,,,,
Akasa Air,Low-Cost Carrier,Asia Pacific,NA,,NA,Watch: Developing,,,,
Alaska Air Group,Full-Service Carrier,North America,,,,Watch:Developing,,BB,BB,Adequate but some concerns
AlbaStar,Charter/ACMI,Europe,NA,Market-Based,NA,,,,,
Allegiant Travel Company,Low-Cost Carrier,North America,,,,Watch:Developing,,BB-,B+,Weak
American (Watch: Developing),Full-Service Carrier,North America,,,,Watch:Developing,,B-   ,B-,Weak
ANA Holdings,Multi-Brand Airline Group,Asia Pacific,,,,,,BBB-,BBB-,Stable
Arkia,Full-Service Carrier,Middle East,NA,,NA,,,,,
Asiana Airlines,Full-Service Carrier,Asia Pacific,,,,,,B-    ,B-,Weak
ASL Aviation Holdings,Charter/ACMI,Europe,NA,,,,,B+,,
Atlas Air,Charter/ACMI,North America,,,,Watch:Developing,,,,
Avelo Airlines (On Watch),Low-Cost Carrier,North America,,Watch:Developing,,Watch:Developing,,CCC,CCC,Critical
Avianca Brazil (Ceased Operations),Full-Service Carrier,South America,(On Watch),,,,,D    ,CC,Critical
Avianca Group,Hybrid Airline,South America,Improving Trend,,,,,B+   ,B+,Weak
Avianca Holdings (Legacy),Full-Service Carrier,South America,,,,,,CCC- ,CCC-,Critical
Azal Azerbaijan Airlines ,Full-Service Carrier,Europe,NA,,NA,,,,,
Azul (On Watch),Low-Cost Carrier,South America,,,,,,CCC    ,CCC,Critical
BA Cityflyer,Regional Airline,Europe,(Within BA context),,,,,,,
Bamboo Airways (On Watch),Full-Service Carrier,Asia Pacific,NA,,NA,Watch: Developing,,,,
Bangkok Airways,Full-Service Carrier,Asia Pacific,,,,,,BB,BB-,Adequate but some concerns
Breeze Airways,Hybrid Airline,North America,Improving Trajectory,Watch:Developing,,Watch:Developing,,CCC,CCC,Critical
British Airways,Full-Service Carrier,Europe,,,,,,BB+ ,BBB-,Stable
CAA Congo,Regional Airline,Africa,NA,,NA,,,,,
Canada Jetlines (Ceased Operations),Charter/ACMI,North America,NA,Market-based,NA,,,,,
Capital A (formerly AirAsia Group) (On Watch),Low-Cost Carrier,Asia Pacific,,,,,,CCC  ,CCC,Critical
Cargojet,Cargo Carrier,North America,,,,,,BB-  ,BB-,Adequate but some concerns
Caribbean Airlines,Regional Airline,South America,NA,,NA,On Watch,,,,
Cathay Pacific,Multi-Brand Airline Group,Asia Pacific,,,,"Amber now, Red risk",,BB- ,BB-,Adequate but some concerns
Cebu Pacific,Low-Cost Carrier,Asia Pacific,,,,Watch: Developing,,B   ,B,Weak
Chair Airlines,Hybrid Airline,Europe,NA,,NA,,,,,
Chengdu Airlines,Low-Cost Carrier,Asia Pacific,NA,,NA,,,,,
China Airlines,Full-Service Carrier,Asia Pacific,,Watch:Developing,Watch:Developing,Watch:Developing,,BB+,BB+,Adequate but some concerns
China Eastern,Full-Service Carrier,Asia Pacific,,,,,,B-   ,B-,Weak
China Express Airlines,Regional Airline,Asia Pacific,Improving trend,,,,,B-,B-,Weak
China Southern,Full-Service Carrier,Asia Pacific,,,,,,B+,B+,Weak
Colorful Guizhou Airlines,Low-Cost Carrier,Asia Pacific,NA,,NA,,,,,
Copa Holdings ,Full-Service Carrier,Central America,,,,Watch:Developing,,BBB+,BBB+,Stable
Corendon,Low-Cost Carrier,Europe,NA,,NA,,,,,
Croatia Airlines,Full-Service Carrier,Europe,,,,,,CCC+,CCC+,Critical
Delta Air Lines,Full-Service Carrier,North America,,,,Watch:Developing,,BBB-,BBB-,Stable
DHL Group,Cargo Carrier,Europe,,,,,,BBB-,BBB-,Stable
Eastar Jet,Low-Cost Carrier,Asia Pacific,,,Market Based  ,,,,,
easyJet,Low-Cost Carrier,Europe,,,,,,BBB+    ,BBB+,Stable
EgyptAir (On Watch),Full-Service Carrier,Africa,NA,,NA,,,,,
